timeProcessed,filename,score,detect
16-06-2024_21:55:36,./image/16-06-2024_21:55:35.jpg,0.5713166892528534,2
16-06-2024_21:55:37,./image/16-06-2024_21:55:36.jpg,0.8835145831108093,1
16-06-2024_21:55:38,./image/16-06-2024_21:55:37.jpg,0.8668006062507629,1
16-06-2024_21:55:39,./image/16-06-2024_21:55:38.jpg,0.7829711437225342,1
16-06-2024_21:55:40,./image/16-06-2024_21:55:39.jpg,0.8820139765739441,1
16-06-2024_21:55:41,./image/16-06-2024_21:55:41.jpg,0,0
16-06-2024_21:55:42,./image/16-06-2024_21:55:42.jpg,0,0
16-06-2024_21:55:43,./image/16-06-2024_21:55:43.jpg,0,0
16-06-2024_21:55:45,./image/16-06-2024_21:55:44.jpg,0,0
16-06-2024_21:55:46,./image/16-06-2024_21:55:45.jpg,0,0
16-06-2024_21:55:52,./image/16-06-2024_21:55:51.jpg,0.9486351013183594,1
16-06-2024_21:55:58,./image/16-06-2024_21:55:57.jpg,0,0
16-06-2024_21:56:04,./image/16-06-2024_21:56:03.jpg,0,0
16-06-2024_21:56:40,./image/16-06-2024_21:56:39.jpg,0,0
16-06-2024_21:56:46,./image/16-06-2024_21:56:45.jpg,0,0
16-06-2024_21:56:47,./image/16-06-2024_21:56:46.jpg,0,0
16-06-2024_21:56:52,./image/16-06-2024_21:56:51.jpg,0,0
16-06-2024_21:56:58,./image/16-06-2024_21:56:58.jpg,0,0
16-06-2024_21:57:04,./image/16-06-2024_21:57:04.jpg,0,0
16-06-2024_21:57:11,./image/16-06-2024_21:57:10.jpg,0,0
16-06-2024_21:57:17,./image/16-06-2024_21:57:16.jpg,0,0
16-06-2024_21:57:23,./image/16-06-2024_21:57:22.jpg,0,0
16-06-2024_21:57:29,./image/16-06-2024_21:57:28.jpg,0,0
16-06-2024_21:57:35,./image/16-06-2024_21:57:34.jpg,0.909659743309021,1
16-06-2024_21:57:41,./image/16-06-2024_21:57:41.jpg,0,0
16-06-2024_21:57:47,./image/16-06-2024_21:57:46.jpg,0,0
16-06-2024_21:57:47,./image/16-06-2024_21:57:47.jpg,0,0
